conv_id,intent,should_escalate,escalation_reason,unsure,notes,labelled_at
567985,content_catalog,no,none,False,,2026-09-15T12:54:46+00:00
497732,account_security,yes,account_security,False,,2026-09-15T12:54:55+00:00
2917841,playback_technical,no,none,False,,2026-09-15T13:00:24+00:00
116618,billing_subscription,no,none,False,,2026-09-15T13:00:32+00:00
812816,content_catalog,no,none,False,,2026-09-15T13:00:43+00:00
2892620,content_catalog,no,none,False,,2026-09-15T13:00:52+00:00
2979775,playback_technical,no,none,False,,2026-09-15T13:01:28+00:00
2861240,playback_technical,no,none,False,,2026-09-15T13:01:44+00:00
149366,billing_subscription,no,none,False,,2026-09-15T13:01:52+00:00
2844603,playback_technical,yes,high_frustration,False,,2026-09-15T13:02:11+00:00
456845,billing_subscription,yes,payment_dispute,False,,2026-09-15T13:02:34+00:00
617821,feature_feedback,no,none,False,,2026-09-15T13:34:15+00:00
1950476,feature_feedback,no,none,False,,2026-09-15T13:34:27+00:00
516747,billing_subscription,yes,payment_dispute,False,,2026-09-15T13:34:42+00:00
438394,billing_subscription,no,none,False,,2026-09-15T13:34:57+00:00
562460,account_access,yes,needs_investigation,False,,2026-09-15T13:35:11+00:00
575703,billing_subscription,yes,payment_dispute,True,,2026-09-15T13:35:27+00:00
131823,feature_feedback,no,none,False,,2026-09-15T13:35:39+00:00
129756,other,no,none,True,Different Language ,2026-09-15T13:36:06+00:00
2942685,dm_followup,no,none,False,,2026-09-15T13:36:18+00:00
582203,billing_subscription,no,none,False,,2026-09-15T13:36:31+00:00
486954,dm_followup,yes,payment_dispute,True,,2026-09-15T13:36:50+00:00
642106,content_catalog,no,none,False,,2026-09-15T13:37:04+00:00
506066,feature_feedback,no,none,False,,2026-09-15T13:37:14+00:00
115286,feature_feedback,no,none,True,Could be Billing not sure,2026-09-15T13:37:39+00:00
2866608,account_security,yes,account_security,False,,2026-09-15T13:38:24+00:00
2959326,thanks_resolved,no,none,False,,2026-09-15T13:38:32+00:00
2868817,billing_subscription,no,none,False,,2026-09-15T13:40:15+00:00
497721,playback_technical,no,none,False,,2026-09-15T13:40:25+00:00
1843933,feature_feedback,no,none,False,,2026-09-15T13:40:40+00:00
667155,account_access,no,none,False,,2026-09-15T13:40:52+00:00
2919334,playback_technical,yes,needs_investigation,False,,2026-09-15T13:41:15+00:00
163715,account_access,yes,needs_investigation,False,,2026-09-15T13:41:33+00:00
500933,thanks_resolved,no,none,False,,2026-09-15T13:41:45+00:00
653104,feature_feedback,no,none,False,,2026-09-15T13:42:18+00:00
2545282,content_catalog,yes,needs_investigation,False,,2026-09-15T13:42:41+00:00
622889,account_security,yes,account_security,False,,2026-09-15T13:42:58+00:00
2427730,thanks_resolved,no,none,False,,2026-09-15T13:43:05+00:00
2928149,dm_followup,no,none,False,,2026-09-15T13:43:09+00:00
649927,dm_followup,no,none,False,,2026-09-15T13:43:14+00:00
2948888,playback_technical,no,none,False,,2026-09-15T13:43:29+00:00
654574,account_access,no,none,False,,2026-09-15T13:43:43+00:00
568896,feature_feedback,no,none,False,,2026-09-15T13:44:09+00:00
471649,other,no,none,False,,2026-09-15T13:46:04+00:00
2133712,billing_subscription,no,none,False,,2026-09-15T13:47:32+00:00
2866635,content_catalog,no,none,False,,2026-09-15T13:47:49+00:00
2959346,account_security,yes,account_security,False,,2026-09-15T13:48:11+00:00
642136,billing_subscription,yes,needs_investigation,False,,2026-09-15T13:48:30+00:00
2898300,playback_technical,no,none,False,,2026-09-15T13:49:00+00:00
2842,dm_followup,no,none,False,,2026-09-15T13:49:24+00:00
486930,billing_subscription,no,none,False,,2026-09-15T13:49:42+00:00
2836375,account_access,no,none,False,,2026-09-15T13:50:04+00:00
2164331,playback_technical,yes,high_frustration,False,,2026-09-15T13:50:41+00:00
1736627,content_catalog,no,none,False,,2026-09-15T13:51:02+00:00
2249496,thanks_resolved,no,none,False,,2026-09-15T13:51:39+00:00
481118,thanks_resolved,no,none,False,,2026-09-15T13:51:47+00:00
2961989,account_access,no,none,False,,2026-09-15T13:51:57+00:00
2950127,other,no,none,False,,2026-09-15T13:52:14+00:00
97671,playback_technical,yes,high_frustration,False,,2026-09-15T13:52:40+00:00
551299,playback_technical,yes,high_frustration,False,,2026-09-15T13:52:54+00:00
2864071,playback_technical,no,none,False,,2026-09-15T13:53:07+00:00
2603339,billing_subscription,no,none,False,,2026-09-15T13:53:19+00:00
2824398,playback_technical,yes,high_frustration,False,,2026-09-15T13:53:32+00:00
2902828,thanks_resolved,no,none,False,,2026-09-15T13:53:37+00:00
2219849,content_catalog,yes,needs_investigation,False,,2026-09-15T13:53:59+00:00
2831206,billing_subscription,no,none,False,,2026-09-15T13:54:10+00:00
513059,thanks_resolved,no,none,False,,2026-09-15T13:54:14+00:00
647125,billing_subscription,no,none,False,,2026-09-15T13:54:21+00:00
172466,feature_feedback,no,none,False,,2026-09-15T13:54:34+00:00
1736619,feature_feedback,yes,high_frustration,False,,2026-09-15T13:54:55+00:00
100145,thanks_resolved,no,none,False,,2026-09-15T13:54:59+00:00
2201050,feature_feedback,no,none,False,,2026-09-15T13:55:12+00:00
2986555,thanks_resolved,no,none,False,,2026-09-15T13:55:18+00:00
2846493,dm_followup,no,none,False,,2026-09-15T13:55:26+00:00
684938,playback_technical,yes,high_frustration,False,,2026-09-15T13:55:48+00:00
639958,content_catalog,no,none,False,,2026-09-15T13:56:38+00:00
2913922,content_catalog,no,none,False,,2026-09-15T13:57:06+00:00
2902806,feature_feedback,no,none,False,,2026-09-15T13:57:44+00:00
2520080,content_catalog,no,none,False,,2026-09-15T13:58:00+00:00
2972087,feature_feedback,no,none,False,,2026-09-15T13:58:50+00:00
453442,account_access,yes,needs_investigation,False,,2026-09-15T13:59:19+00:00
128851,feature_feedback,no,none,False,,2026-09-15T14:00:04+00:00
116575,account_security,yes,account_security,False,,2026-09-15T14:00:13+00:00
2972948,thanks_resolved,no,none,False,,2026-09-15T14:00:17+00:00
2916636,playback_technical,yes,needs_investigation,False,,2026-09-15T14:00:45+00:00
2848344,thanks_resolved,no,none,False,,2026-09-15T14:01:00+00:00
490763,other,no,none,True,,2026-09-15T14:01:44+00:00
551316,content_catalog,no,none,False,,2026-09-15T14:02:22+00:00
147420,playback_technical,no,none,False,,2026-09-15T14:02:28+00:00
2938714,billing_subscription,no,none,False,,2026-09-15T14:02:39+00:00
660568,dm_followup,no,none,False,,2026-09-15T14:02:42+00:00
649912,billing_subscription,yes,payment_dispute,False,,2026-09-15T14:03:07+00:00
64367,billing_subscription,yes,payment_dispute,False,,2026-09-15T14:03:31+00:00
131819,playback_technical,no,none,False,,2026-09-15T14:03:46+00:00
174612,content_catalog,no,none,False,,2026-09-15T14:04:04+00:00
2913930,account_access,no,none,False,,2026-09-15T14:04:09+00:00
458080,billing_subscription,yes,payment_dispute,False,,2026-09-15T14:04:30+00:00
2857442,billing_subscription,no,none,False,,2026-09-15T14:04:37+00:00
2818182,account_security,yes,account_security,False,,2026-09-15T14:04:47+00:00
2819562,account_access,yes,privacy_legal,False,,2026-09-15T14:05:12+00:00
2896723,billing_subscription,no,none,False,,2026-09-15T14:05:30+00:00
381245,billing_subscription,no,none,False,,2026-09-15T14:05:46+00:00
155383,playback_technical,no,none,False,,2026-09-15T14:06:07+00:00
700406,billing_subscription,no,none,False,,2026-09-15T14:06:14+00:00
23273,billing_subscription,yes,high_frustration,False,,2026-09-15T14:06:23+00:00
2853010,dm_followup,no,none,False,,2026-09-15T14:06:36+00:00
539172,playback_technical,yes,high_frustration,False,,2026-09-15T14:07:03+00:00
654576,thanks_resolved,no,none,False,,2026-09-15T14:07:07+00:00
620370,thanks_resolved,no,none,True,,2026-09-15T14:08:01+00:00
494221,playback_technical,no,none,False,,2026-09-15T14:08:43+00:00
2953014,playback_technical,no,none,False,,2026-09-15T14:08:58+00:00
2825209,playback_technical,no,none,False,,2026-09-15T14:09:17+00:00
2855899,billing_subscription,no,none,False,,2026-09-15T14:09:25+00:00
124841,billing_subscription,no,none,False,,2026-09-15T14:09:34+00:00
95800,dm_followup,no,none,False,,2026-09-15T14:09:37+00:00
2869,feature_feedback,no,none,False,,2026-09-15T14:09:45+00:00
468369,billing_subscription,no,none,False,,2026-09-15T14:09:50+00:00
2846486,dm_followup,no,none,False,,2026-09-15T14:10:00+00:00
2699550,content_catalog,no,none,False,,2026-09-15T14:10:25+00:00
467609,feature_feedback,no,none,False,,2026-09-15T14:10:51+00:00
539169,thanks_resolved,no,none,False,,2026-09-15T14:10:58+00:00
123472,feature_feedback,no,none,False,,2026-09-15T14:11:20+00:00
526685,dm_followup,no,none,False,,2026-09-15T14:11:24+00:00
2927401,dm_followup,no,none,False,,2026-09-15T14:11:27+00:00
2925991,feature_feedback,no,none,False,,2026-09-15T14:11:32+00:00
2816727,playback_technical,no,none,False,,2026-09-15T14:11:56+00:00
565413,account_security,yes,account_security,False,,2026-09-15T14:12:02+00:00
2865473,feature_feedback,no,none,False,,2026-09-15T14:12:07+00:00
492422,account_security,yes,account_security,False,,2026-09-15T14:12:20+00:00
2837833,thanks_resolved,no,none,False,,2026-09-15T14:12:36+00:00
77699,billing_subscription,no,none,False,,2026-09-15T14:12:42+00:00
2920615,billing_subscription,yes,high_frustration,False,,2026-09-15T14:13:34+00:00
160513,billing_subscription,no,none,False,,2026-09-15T14:13:49+00:00
568928,feature_feedback,no,none,False,,2026-09-15T14:14:08+00:00
2929214,content_catalog,no,none,False,,2026-09-15T14:14:32+00:00
2859063,account_security,yes,account_security,False,,2026-09-15T14:14:43+00:00
2881639,feature_feedback,no,none,False,,2026-09-15T14:15:04+00:00
133961,other,no,none,True,,2026-09-15T14:15:27+00:00
2883730,account_access,no,none,False,,2026-09-15T14:15:50+00:00
666368,feature_feedback,no,none,False,,2026-09-15T14:15:55+00:00
488811,billing_subscription,no,none,False,,2026-09-15T14:16:00+00:00
572080,playback_technical,no,none,False,,2026-09-15T14:16:05+00:00
631994,dm_followup,no,none,False,,2026-09-15T14:16:11+00:00
83706,dm_followup,no,none,False,,2026-09-15T14:16:14+00:00
79453,billing_subscription,no,none,False,,2026-09-15T14:16:39+00:00
118841,thanks_resolved,no,none,False,,2026-09-15T14:16:43+00:00
689528,content_catalog,yes,needs_investigation,False,,2026-09-15T14:17:08+00:00
2201042,feature_feedback,no,none,False,,2026-09-15T14:18:03+00:00
2577745,other,no,none,True,,2026-09-15T14:18:18+00:00
2933218,feature_feedback,no,none,False,,2026-09-15T14:18:31+00:00
2219833,dm_followup,no,none,False,,2026-09-15T14:18:39+00:00
2785004,playback_technical,no,none,False,,2026-09-15T14:18:58+00:00
2913812,playback_technical,no,none,False,,2026-09-15T14:19:07+00:00
564515,account_security,yes,account_security,False,,2026-09-15T14:19:17+00:00
550055,content_catalog,no,none,False,,2026-09-15T14:19:39+00:00
599480,feature_feedback,no,none,False,,2026-09-15T14:19:51+00:00
689585,billing_subscription,no,none,False,,2026-09-15T14:20:16+00:00
462651,thanks_resolved,no,none,False,,2026-09-15T14:20:40+00:00
113856,billing_subscription,yes,needs_investigation,False,,2026-09-15T14:21:00+00:00
171094,thanks_resolved,no,none,False,,2026-09-15T14:21:06+00:00
2764550,dm_followup,no,none,False,,2026-09-15T14:21:17+00:00
2819530,dm_followup,no,none,False,,2026-09-15T14:21:28+00:00
44348,billing_subscription,no,none,False,,2026-09-15T14:21:35+00:00
2819531,dm_followup,no,none,False,,2026-09-15T14:21:38+00:00
649883,billing_subscription,yes,high_frustration,False,,2026-09-15T14:21:51+00:00
492382,dm_followup,no,none,False,,2026-09-15T14:22:05+00:00
438426,billing_subscription,no,none,False,,2026-09-15T14:22:19+00:00
